1,833;5,94;-0,091;116,95;14,62;5,31;8,81;19,47;0,66;1,1;0,74;3,89;8;5;7;4;4;0;0;3;2;20;67,21;16;38,222;1,386;1,176;1,32;0,849;12,167;9,17;6,4;0,374;64;150,099;28;78,321;3,972;2,884;16;1,6;5,5;7;16;-3,101;0,8;0;22;6;16
1,655;6,49;-0,111;143,41;17,93;5,58;8,2;9,86;0,7;1,03;0,81;2,47;8;4;7;3;3;0;0;4;2;10;8,672;8;6,074;1,386;1,333;1,414;0,849;8,083;6,356;5;0,527;38;30,894;19;10,827;3,161;1,893;10;1,667;3,611;4,333;10;-2,499;1,707;0;15;3,833;10
1,853;4,95;-0,003;118,49;14,81;4,83;9,51;30,86;0,6;1,19;0,62;5,14;8;6;7;5;5;0;0;2;2;24;167,605;22;93,556;2,079;1,263;1,414;0,693;16,833;13,264;9,333;0,365;106;426,938;57;526,778;5,308;3,677;28;1,867;7,083;9,5;28;-4,434;1,372;0;44;7,833;28
2,298;5,81;-0,043;152,93;19,12;5,53;9,84;34,81;0,69;1,23;0,73;4,97;8;7;7;6;6;0;0;1;2;30;173,21;30;100,667;2,485;1,254;1,426;0,634;19,167;17,25;12;0,33;156;526,988;90;632,321;6,367;4,711;42;2;8,917;12,5;42;-5,624;1,435;0;69;10;42
1,114;3,4;-0,041;64,04;10,67;3,42;6,79;20,67;0,57;1,13;0,57;5,17;6;4;5;3;4;0;0;2;2;12;118;9;64;1,099;1,2;1,316;0,954;11;5,927;4,5;0,456;36;210;15;218;2,894;2,039;9;1,5;3,75;4,5;9;-2,249;1;0;12;4;9
1,002;4,38;-0,053;62,5;10,42;3,9;6,09;9,11;0,65;1,02;0,73;3,04;6;3;5;2;3;0;0;3;2;6;13,605;4;8,333;0,693;1,2;1,26;1,201;6,333;2,89;2,667;0,577;16;27,938;6;11,444;1,655;1,177;4;1,333;2,25;2,5;4;-1,409;1,333;0;5;2,333;4
1,688;5,24;-0,095;96,94;16,16;4,6;6,41;12,89;0,77;1,07;0,87;3,22;6;4;5;3;4;0;0;2;2;12;21,21;9;14,222;1,099;1,2;1,316;0,954;8,667;5,927;4,5;0,456;36;50,988;15;21,654;2,894;2,039;9;1,5;3,75;4,5;9;-2,249;1;0;12;4;9
1,057;5,24;-0,038;96,94;16,16;4,6;6,41;12,22;0,77;1,07;0,87;3,06;6;4;5;3;4;0;0;2;2;10;19,21;8;13,667;1,386;1,333;1,414;0,849;8,667;6,356;5;0,527;38;52,543;19;24,815;3,161;1,893;10;1,667;3,611;4,333;10;-2,499;1,707;0;15;3,833;10
1,057;5,24;-0,109;96,94;16,16;4,6;6,41;12,22;0,77;1,07;0,87;3,06;6;4;5;3;4;0;0;2;2;10;19,21;8;13,667;1,386;1,333;1,414;0,849;8,667;6,356;5;0,527;38;52,543;19;24,815;3,161;1,893;10;1,667;3,611;4,333;10;-2,499;1,707;0;15;3,833;10
1,743;6,1;-0,079;131,38;21,9;5,3;6,74;16;0,88;1,12;1,02;3,2;6;5;5;4;5;0;0;1;2;16;26,815;14;20,556;1,792;1,304;1,431;0,747;11;9,757;7,2;0,436;68;84,259;36;40,951;4,301;2,804;18;1,8;5,222;6,667;18;-3,489;1,542;0;28;5,667;18
